question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,topic,source
Quelle balise peut empêcher l'indexation si configurée ainsi ?,"<meta name=""robots"" content=""noindex"">","<meta name=""seo"" content=""off"">",<noindex>,"<link rel=""hidden"">",HTML,hard,html_seo_head,Web Dev & IA Quiz
Pourquoi ne faut-il pas utiliser noindex sans comprendre ?,La page pourrait ne pas apparaître dans les moteurs de recherche,La page devient inaccessible localement,Le CSS est désactivé,Le navigateur bloque tous les liens,HTML,hard,html_seo_head,Web Dev & IA Quiz
Quel sélecteur cible tous les éléments <p> ?,p,.p,#p,*p,CSS,easy,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible une classe nommée card ?,.card,#card,card,@card,CSS,easy,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible un id nommé header ?,#header,.header,header,@header,CSS,easy,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible tous les éléments de la page ?,*,all,body * only,html,CSS,easy,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible les <a> à l'intérieur d'un <nav> ?,nav a,nav > only a,nav+a,nav.a,CSS,easy,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible seulement les enfants directs <li> d'un <ul> ?,ul > li,ul li,ul + li,ul.li,CSS,medium,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible un élément au survol ?,:hover,::hover,:focus-hover,@hover,CSS,easy,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible un champ actuellement focus ?,:focus,:active,:selected,::focus,CSS,easy,css_selectors,Web Dev & IA Quiz
Quel pseudo-élément ajoute du contenu avant un élément ?,::before,:before-only,::start,@before,CSS,medium,css_selectors,Web Dev & IA Quiz
Quel pseudo-élément ajoute du contenu après un élément ?,::after,:after-only,::end,@after,CSS,medium,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible le premier enfant d'un parent ?,:first-child,:first,:child-first,::first-child,CSS,medium,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible le dernier enfant d'un parent ?,:last-child,:last,:child-last,::last-child,CSS,medium,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible un enfant selon sa position ?,:nth-child(),::position(),child-index(),@child(),CSS,medium,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible un input de type email ?,"input[type=""email""]",input.email,input#email,input::email,CSS,medium,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible les liens visités ?,:visited,:seen,:clicked,::visited,CSS,medium,css_selectors,Web Dev & IA Quiz
Quelle différence existe entre .card et #card ?,".card cible une classe, #card cible un id",".card cible un id, #card cible une classe",Les deux ciblent une balise card,Ils sont identiques,CSS,easy,css_selectors,Web Dev & IA Quiz
Pourquoi éviter des sélecteurs trop longs et spécifiques ?,Ils deviennent difficiles à maintenir et à surcharger,Ils sont interdits par CSS,Ils ralentissent toujours la page massivement,Ils empêchent les media queries,CSS,hard,css_selectors,Web Dev & IA Quiz
Quel sélecteur est généralement le plus spécifique ?,#menu,.menu,nav,*,CSS,medium,css_selectors,Web Dev & IA Quiz
Que signifie la cascade en CSS ?,"Les règles se combinent selon source, spécificité et ordre",Les éléments tombent verticalement,Les propriétés se copient dans le DOM,Les styles sont toujours aléatoires,CSS,medium,css_selectors,Web Dev & IA Quiz
Pourquoi l'ordre des règles CSS peut-il changer le résultat ?,"À spécificité égale, la règle la plus tardive peut gagner",La première règle gagne toujours,L'ordre n'a jamais d'effet,Les règles alphabétiques gagnent,CSS,medium,css_selectors,Web Dev & IA Quiz
Quel risque existe avec !important utilisé partout ?,Il rend les styles difficiles à surcharger proprement,Il améliore toujours la maintenance,Il remplace la spécificité sans conséquence,Il est obligatoire avec Flexbox,CSS,hard,css_selectors,Web Dev & IA Quiz
Quelle bonne pratique aide à nommer les classes ?,Utiliser des noms clairs liés au rôle ou composant,Utiliser seulement des lettres aléatoires,Utiliser uniquement des ids,Nommer selon la couleur finale uniquement,CSS,easy,css_selectors,Web Dev & IA Quiz
Quel sélecteur cible deux éléments différents avec la même règle ?,"h1, h2",h1 h2,h1 + h2,h1 > h2,CSS,easy,css_selectors,Web Dev & IA Quiz
Que cible h1 + p ?,Le premier p immédiatement après un h1,Tous les p dans h1,Tous les h1 dans p,Tous les p de la page,CSS,hard,css_selectors,Web Dev & IA Quiz
Que cible h1 ~ p ?,Les p frères suivant un h1,Uniquement le premier p enfant,Tous les p avant h1,Les p parents de h1,CSS,hard,css_selectors,Web Dev & IA Quiz
Quelle propriété définit l'espace intérieur d'un élément ?,padding,margin,border,gap,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle propriété définit l'espace extérieur autour d'un élément ?,margin,padding,border,outline,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle propriété définit le contour principal d'un élément ?,border,outline,margin,padding,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle propriété arrondit les coins d'un élément ?,border-radius,corner-radius,radius,round-border,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle propriété contrôle la largeur d'un élément ?,width,size-x,inline-size-only,element-width,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle propriété contrôle la hauteur d'un élément ?,height,size-y,block-size-only,element-height,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle valeur de box-sizing inclut padding et border dans width ?,border-box,content-box,padding-box-only,full-box,CSS,medium,css_box_model,Web Dev & IA Quiz
Quelle est la valeur par défaut fréquente de box-sizing ?,content-box,border-box,full-box,layout-box,CSS,medium,css_box_model,Web Dev & IA Quiz
Pourquoi utiliser box-sizing: border-box ?,Pour rendre le calcul des dimensions plus intuitif,Pour supprimer toutes les marges,Pour rendre l'élément responsive automatiquement,Pour remplacer Flexbox,CSS,medium,css_box_model,Web Dev & IA Quiz
Quelle propriété peut limiter la largeur maximale ?,max-width,limit-width,width-max,maximum,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle propriété peut définir une largeur minimale ?,min-width,minimum-width,width-min,lower-width,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle propriété gère le contenu qui dépasse ?,overflow,clip-content,excess,outside,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle valeur overflow masque le contenu qui dépasse ?,hidden,none,clip-all,invisible,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle valeur overflow ajoute un scroll si nécessaire ?,auto,scroll-if,dynamic,visible-auto,CSS,medium,css_box_model,Web Dev & IA Quiz
Quelle différence existe entre border et outline ?,outline ne prend généralement pas de place dans le modèle de boîte,border ne se voit jamais,outline remplace margin,Ils sont identiques,CSS,hard,css_box_model,Web Dev & IA Quiz
Pourquoi margin vertical peut parfois fusionner entre éléments ?,À cause du margin collapsing,À cause de Flexbox uniquement,Parce que CSS ignore margin-top,Parce que padding est absent,CSS,hard,css_box_model,Web Dev & IA Quiz
Quelle propriété définit l'espace entre éléments dans Flexbox ou Grid ?,gap,margin-collapse,space,between,CSS,easy,css_box_model,Web Dev & IA Quiz
Pourquoi préférer gap à des marges manuelles dans certains layouts ?,Il gère l'espacement entre enfants plus simplement,Il remplace tous les paddings,Il fonctionne uniquement sur body,Il force un scroll,CSS,medium,css_box_model,Web Dev & IA Quiz
Quelle propriété peut ajouter une ombre à une boîte ?,box-shadow,shadow,drop-shadow-box,element-shadow,CSS,easy,css_box_model,Web Dev & IA Quiz
Quelle propriété rend un élément semi-transparent ?,opacity,transparent,visibility,alpha-only,CSS,easy,css_box_model,Web Dev & IA Quiz
Que fait visibility: hidden ?,Cache l'élément en conservant sa place,Supprime l'élément du layout,Le rend cliquable seulement,Le transforme en display none,CSS,medium,css_box_model,Web Dev & IA Quiz
Que fait display: none ?,Retire l'élément du flux d'affichage,Cache l'élément en gardant sa place,Change son opacité à 0,Le rend seulement invisible aux lecteurs d'écran,CSS,medium,css_box_model,Web Dev & IA Quiz
Pourquoi éviter des hauteurs fixes inutiles ?,Elles peuvent casser avec du contenu variable,Elles améliorent toujours le responsive,Elles sont obligatoires sur mobile,Elles empêchent overflow,CSS,medium,css_box_model,Web Dev & IA Quiz
Quel effet peut avoir padding sur un bouton ?,Augmenter sa zone visuelle et cliquable,Créer un lien,Changer la police en gras,Le sortir du DOM,CSS,easy,css_box_model,Web Dev & IA Quiz
Pourquoi min-height peut être utile sur une carte ?,Garantir une hauteur minimale sans bloquer le contenu plus grand,Forcer le texte à disparaître,Remplacer margin,Empêcher le responsive,CSS,medium,css_box_model,Web Dev & IA Quiz
Quelle propriété change la couleur du texte ?,color,font-color,text-color,foreground,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété change la taille du texte ?,font-size,text-size,font-scale,size,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété change l'épaisseur du texte ?,font-weight,text-weight,font-bold,weight,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété change la famille de police ?,font-family,font-name,typeface,text-family,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété contrôle l'interligne ?,line-height,line-spacing,text-line,height-line,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété aligne le texte horizontalement ?,text-align,align-text,font-align,content-align,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle valeur de text-align centre le texte ?,center,middle,align-center,text-center-only,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété transforme la casse du texte ?,text-transform,font-transform,case,text-case-only,CSS,medium,css_typography,Web Dev & IA Quiz
Quelle valeur met un texte en majuscules via CSS ?,uppercase,capital,upper,caps,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété souligne un texte ?,text-decoration,underline,line-style,font-line,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété contrôle l'espacement entre lettres ?,letter-spacing,char-gap,font-gap,text-kern,CSS,medium,css_typography,Web Dev & IA Quiz
Quelle propriété contrôle l'espacement entre mots ?,word-spacing,words-gap,text-word-gap,font-spacing-word,CSS,medium,css_typography,Web Dev & IA Quiz
Quelle unité est relative à la taille de police de l'élément ?,em,px,vh,cm,CSS,medium,css_typography,Web Dev & IA Quiz
Quelle unité est relative à la taille de police racine ?,rem,em,px,% only,CSS,medium,css_typography,Web Dev & IA Quiz
Pourquoi utiliser rem pour la typographie ?,Pour garder une échelle cohérente liée à la racine,Pour empêcher le zoom,Pour rendre le texte non responsive,Pour remplacer font-family,CSS,medium,css_typography,Web Dev & IA Quiz
Quel risque existe avec un line-height trop faible ?,Le texte devient moins lisible,Le texte disparaît,La police change,Le layout devient flex,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété peut limiter le nombre de lignes avec techniques associées ?,line-clamp,text-limit,max-lines-only,overflow-lines,CSS,hard,css_typography,Web Dev & IA Quiz
Pourquoi éviter de justifier de longs textes sur mobile ?,Cela peut créer des espacements irréguliers et nuire à la lecture,CSS interdit justify sur mobile,Le texte devient invisible,Les liens cessent de marcher,CSS,hard,css_typography,Web Dev & IA Quiz
Quelle valeur de font-weight correspond souvent au gras standard ?,700,400,300,100,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle valeur de font-weight correspond souvent au normal ?,400,700,900,100,CSS,easy,css_typography,Web Dev & IA Quiz
Pourquoi prévoir des polices de secours dans font-family ?,"Si la première police n'est pas disponible, une autre peut être utilisée",Pour charger toutes les polices en même temps,Pour désactiver le navigateur,Pour convertir le texte en image,CSS,medium,css_typography,Web Dev & IA Quiz
Quelle famille générique est adaptée à une police sans empattement ?,sans-serif,serif,monospace,cursive-only,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle famille générique est adaptée au code ?,monospace,sans-serif,serif,fantasy,CSS,easy,css_typography,Web Dev & IA Quiz
Pourquoi le contraste texte/fond est important ?,Il influence fortement la lisibilité et l'accessibilité,Il remplace la taille de police,Il crée un responsive automatique,Il empêche les erreurs HTML,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété peut contrôler la hauteur d'une ligne indépendamment de font-size ?,line-height,height,font-height,text-box,CSS,easy,css_typography,Web Dev & IA Quiz
Quelle propriété définit la couleur de fond ?,background-color,color,bg,background,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quelle propriété peut définir une image de fond ?,background-image,image-background,background-src,bg-image-only,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quelle valeur représente une couleur hexadécimale valide ?,#ff0000,rgb-255-0-0,red(),hex(ff0000),CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
"Quelle fonction CSS représente une couleur en rouge, vert, bleu ?",rgb(),hsl(),hex(),color-rgb-only,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quelle fonction ajoute souvent une notion de transparence via alpha ?,rgba(),rgb-only(),transparent-rgb(),alpha-color(),CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
"Quelle fonction CSS représente teinte, saturation et luminosité ?",hsl(),rgb(),hex(),cmyk(),CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
Quelle valeur rend un fond transparent ?,transparent,none,empty,alpha0-only,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quelle propriété définit plusieurs aspects du fond en raccourci ?,background,background-all,bg-style,background-set,CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
Quelle propriété contrôle la répétition d'une image de fond ?,background-repeat,background-loop,repeat-image,image-repeat,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quelle valeur empêche la répétition d'une image de fond ?,no-repeat,none,stop-repeat,single,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quelle propriété contrôle la position d'une image de fond ?,background-position,image-position,bg-align,background-place,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quelle propriété contrôle la taille d'une image de fond ?,background-size,image-size,bg-scale,background-fit,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quelle valeur de background-size couvre tout le conteneur ?,cover,contain,fill-only,stretch-box,CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
Quelle valeur de background-size affiche l'image entière si possible ?,contain,cover,full,inside,CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
Pourquoi cover peut rogner une image ?,Il remplit le conteneur quitte à couper une partie,Il réduit toujours l'image,Il désactive background-position,Il transforme l'image en couleur,CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
Quelle propriété applique un dégradé en fond via background-image ?,linear-gradient(),gradient-color,background-fade,color-mix-only,CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
Pourquoi éviter trop de couleurs principales dans une interface ?,Cela peut nuire à la cohérence visuelle,CSS interdit plus de trois couleurs,Les navigateurs ralentissent toujours,Les contrastes deviennent toujours meilleurs,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quelle propriété peut appliquer un filtre visuel comme blur sur un élément ?,filter,effect,visual-filter,image-effect,CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
Quelle fonction CSS crée un flou ?,blur(),soft(),focus(),fog(),CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
Quelle propriété contrôle l'opacité complète d'un élément ?,opacity,alpha,visibility,transparent,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quel problème pose opacity: 0 sur un bouton interactif ?,Il peut rester présent et parfois interactif selon le contexte,Il est toujours supprimé du DOM,Il devient display none,Il perd ses événements automatiquement,CSS,hard,css_colors_backgrounds,Web Dev & IA Quiz
Pourquoi vérifier le contraste des couleurs ?,Pour garantir une lecture confortable et accessible,Pour rendre le CSS valide,Pour éviter les media queries,Pour compresser les images,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quelle couleur CSS nommée est valide ?,red,rouge,primary,danger,CSS,easy,css_colors_backgrounds,Web Dev & IA Quiz
Quel avantage ont les variables CSS pour les couleurs ?,Centraliser et réutiliser la palette,Empêcher les surcharges,Créer automatiquement un thème sombre,Supprimer le fichier CSS,CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
Quelle syntaxe utilise une variable CSS ?,var(--primary-color),$primary-color,@primary-color,color(primary),CSS,medium,css_colors_backgrounds,Web Dev & IA Quiz
Quelle déclaration active Flexbox sur un conteneur ?,display: flex,flex: true,layout: flex,position: flex,CSS,easy,css_flexbox,Web Dev & IA Quiz
Quelle propriété définit l'axe principal en Flexbox ?,flex-direction,justify-content,align-items,flex-axis,CSS,easy,css_flexbox,Web Dev & IA Quiz
Quelle valeur place les éléments en ligne ?,row,column,inline-only,horizontal-flex,CSS,easy,css_flexbox,Web Dev & IA Quiz
Quelle valeur place les éléments en colonne ?,column,row,vertical-align,stack,CSS,easy,css_flexbox,Web Dev & IA Quiz
Quelle propriété aligne sur l'axe principal ?,justify-content,align-items,align-content,place-items,CSS,easy,css_flexbox,Web Dev & IA Quiz
Quelle propriété aligne sur l'axe secondaire ?,align-items,justify-content,flex-main,content-align,CSS,easy,css_flexbox,Web Dev & IA Quiz
Quelle valeur centre les éléments sur l'axe principal ?,center,middle,space-center,align-center,CSS,easy,css_flexbox,Web Dev & IA Quiz
Quelle valeur répartit l'espace entre les éléments ?,space-between,between,space-around-only,gap-between,CSS,medium,css_flexbox,Web Dev & IA Quiz
Quelle propriété autorise le retour à la ligne des enfants flex ?,flex-wrap,wrap,line-wrap,flex-lines,CSS,easy,css_flexbox,Web Dev & IA Quiz
Quelle valeur de flex-wrap permet le retour à la ligne ?,wrap,newline,multi-line,break,CSS,easy,css_flexbox,Web Dev & IA Quiz
Quelle propriété définit l'espace entre enfants flex ?,gap,margin-auto,space,flex-gap-only,CSS,easy,css_flexbox,Web Dev & IA Quiz
Que fait flex: 1 sur un enfant flex ?,Il permet à l'élément de prendre l'espace disponible,Il fixe sa largeur à 1px,Il le cache,Il le sort du flux,CSS,medium,css_flexbox,Web Dev & IA Quiz
Quelle propriété contrôle l'ordre visuel d'un item flex ?,order,position,rank,index,CSS,medium,css_flexbox,Web Dev & IA Quiz
Pourquoi utiliser order avec prudence ?,L'ordre visuel peut différer de l'ordre DOM,Il casse toujours le CSS,Il supprime le focus,Il empêche les media queries,CSS,hard,css_flexbox,Web Dev & IA Quiz
Quelle propriété permet à un item de grandir ?,flex-grow,grow,flex-size,expand,CSS,medium,css_flexbox,Web Dev & IA Quiz
Quelle propriété permet à un item de rétrécir ?,flex-shrink,shrink,flex-reduce,compress,CSS,medium,css_flexbox,Web Dev & IA Quiz
Quelle propriété définit la base de taille d'un item flex ?,flex-basis,basis,initial-width,flex-start-size,CSS,medium,css_flexbox,Web Dev & IA Quiz
Quel couple centre un élément horizontalement et verticalement en Flexbox ?,justify-content: center; align-items: center,text-align: center; vertical-align: middle,margin: center; padding: center,display: block; align: center,CSS,easy,css_flexbox,Web Dev & IA Quiz
Pourquoi Flexbox est adapté aux barres de navigation ?,Il aligne facilement des éléments sur un axe,Il crée automatiquement des routes,Il remplace les liens,Il impose une grille stricte,CSS,easy,css_flexbox,Web Dev & IA Quiz
Quand Grid peut être plus adapté que Flexbox ?,Pour une mise en page en deux dimensions,Pour aligner un seul axe,Pour mettre du texte en gras,Pour changer la couleur,CSS,medium,css_flexbox,Web Dev & IA Quiz
Quelle propriété peut aligner un seul item flex différemment ?,align-self,self-align,item-align,justify-self-flex,CSS,medium,css_flexbox,Web Dev & IA Quiz
Pourquoi gap est souvent préférable à margin entre items flex ?,Il gère l'espacement sans effets aux extrémités,Il fonctionne sans conteneur,Il remplace padding,Il force le wrap,CSS,medium,css_flexbox,Web Dev & IA Quiz
Quel risque existe avec flex-wrap absent sur petits écrans ?,Les éléments peuvent déborder horizontalement,Les éléments disparaissent toujours,La police change,Le conteneur devient grid,CSS,medium,css_flexbox,Web Dev & IA Quiz
Quelle valeur inverse l'ordre horizontal des items ?,row-reverse,reverse-row,flex-reverse-x,order-reverse,CSS,medium,css_flexbox,Web Dev & IA Quiz
Quelle valeur inverse l'ordre vertical des items ?,column-reverse,reverse-column,flex-reverse-y,stack-reverse,CSS,medium,css_flexbox,Web Dev & IA Quiz
Quelle déclaration active CSS Grid ?,display: grid,grid: true,layout: grid,position: grid,CSS,easy,css_grid,Web Dev & IA Quiz
Quelle propriété définit les colonnes d'une grille ?,grid-template-columns,grid-columns,columns-template,template-columns-only,CSS,easy,css_grid,Web Dev & IA Quiz
Quelle propriété définit les lignes d'une grille ?,grid-template-rows,grid-rows,rows-template,template-rows-only,CSS,easy,css_grid,Web Dev & IA Quiz
Quelle unité Grid représente une fraction de l'espace disponible ?,fr,flex,ratio,part,CSS,easy,css_grid,Web Dev & IA Quiz
"Que signifie repeat(3, 1fr) ?",Trois colonnes égales,Une colonne répétée 1 fois,Trois lignes fixes,Trois pixels flexibles,CSS,medium,css_grid,Web Dev & IA Quiz
Quelle propriété définit l'espace entre cellules de grille ?,gap,grid-space,cell-gap-only,margin-grid,CSS,easy,css_grid,Web Dev & IA Quiz
Quelle fonction permet de limiter une taille entre min et max dans Grid ?,minmax(),between(),range(),clamp-grid(),CSS,medium,css_grid,Web Dev & IA Quiz
Que permet auto-fit avec repeat ?,Adapter le nombre de colonnes à l'espace disponible,Forcer exactement une colonne,Désactiver le responsive,Trier les éléments,CSS,hard,css_grid,Web Dev & IA Quiz
Quelle propriété place un item sur des colonnes précises ?,grid-column,column-place,grid-x,item-column,CSS,medium,css_grid,Web Dev & IA Quiz
Quelle propriété place un item sur des lignes précises ?,grid-row,row-place,grid-y,item-row,CSS,medium,css_grid,Web Dev & IA Quiz
Que signifie grid-column: span 2 ?,L'item s'étend sur deux colonnes,L'item commence à la colonne 2,La grille a deux colonnes,L'item est caché,CSS,medium,css_grid,Web Dev & IA Quiz
Quelle propriété nomme des zones de mise en page ?,grid-template-areas,grid-area-names,layout-areas,template-zones,CSS,hard,css_grid,Web Dev & IA Quiz
Quelle propriété assigne un item à une zone nommée ?,grid-area,area-name,grid-zone,template-area,CSS,hard,css_grid,Web Dev & IA Quiz
Pourquoi Grid est utile pour des layouts de cartes ?,Il gère facilement lignes et colonnes,Il remplace les images,Il crée automatiquement des cartes,Il empêche les media queries,CSS,easy,css_grid,Web Dev & IA Quiz
Quelle différence générale existe entre Flexbox et Grid ?,"Flexbox gère surtout un axe, Grid gère deux dimensions",Grid ne gère qu'un axe,Flexbox est uniquement pour texte,Ils sont strictement identiques,CSS,medium,css_grid,Web Dev & IA Quiz
Quelle propriété aligne les items dans leurs cellules sur l'axe horizontal ?,justify-items,align-items,justify-content,place-content,CSS,medium,css_grid,Web Dev & IA Quiz
Quelle propriété aligne les items dans leurs cellules sur l'axe vertical ?,align-items,justify-items,align-content,place-content,CSS,medium,css_grid,Web Dev & IA Quiz
Quelle propriété combine align-items et justify-items ?,place-items,center-items,grid-align,items-place,CSS,medium,css_grid,Web Dev & IA Quiz
Pourquoi éviter une grille trop rigide sur mobile ?,Elle peut provoquer des débordements ou une mauvaise lisibilité,Elle devient automatiquement flex,Elle supprime les contenus,Elle empêche le scroll,CSS,medium,css_grid,Web Dev & IA Quiz
Quelle valeur permet souvent des colonnes responsives avec minmax ?,"repeat(auto-fit, minmax(200px, 1fr))","repeat(200px, auto-fit)",grid-template-columns: responsive,auto-grid: 200px,CSS,hard,css_grid,Web Dev & IA Quiz
Quelle propriété contrôle la taille automatique des lignes implicites ?,grid-auto-rows,auto-rows,implicit-row-size,grid-rows-auto-only,CSS,hard,css_grid,Web Dev & IA Quiz
Quelle propriété contrôle le placement automatique des items ?,grid-auto-flow,auto-placement,grid-flow-items,flow-grid,CSS,hard,css_grid,Web Dev & IA Quiz
Quelle valeur dense peut combler certains trous dans une grille ?,grid-auto-flow: dense,grid-fill: holes,dense-grid: true,auto-fit: dense-only,CSS,hard,css_grid,Web Dev & IA Quiz
Pourquoi grid-template-areas peut améliorer la lisibilité ?,La structure visuelle est nommée clairement,Elle rend le CSS plus court dans tous les cas,Elle remplace HTML,Elle supprime les classes,CSS,medium,css_grid,Web Dev & IA Quiz
Quel type de layout est typique pour Grid ?,"Une page avec header, sidebar, main et footer",Un bouton centré seul,Un texte en gras,Un lien hover,CSS,easy,css_grid,Web Dev & IA Quiz
Quelle valeur de position garde l'élément dans le flux normal ?,static,relative,absolute,fixed,CSS,easy,css_positioning,Web Dev & IA Quiz
Quelle valeur permet de décaler un élément par rapport à sa position normale ?,relative,absolute,fixed,sticky,CSS,easy,css_positioning,Web Dev & IA Quiz
Quelle valeur positionne un élément par rapport à son ancêtre positionné le plus proche ?,absolute,relative,static,inline,CSS,medium,css_positioning,Web Dev & IA Quiz
Quelle valeur fixe un élément par rapport à la fenêtre ?,fixed,absolute,relative,sticky,CSS,easy,css_positioning,Web Dev & IA Quiz
Quelle valeur colle un élément pendant le scroll dans certaines conditions ?,sticky,fixed-only,scroll-fixed,glued,CSS,medium,css_positioning,Web Dev & IA Quiz
Quelle propriété contrôle le décalage depuis le haut ?,top,y,offset-top-only,margin-top-fixed,CSS,easy,css_positioning,Web Dev & IA Quiz
Quelle propriété contrôle le décalage depuis la gauche ?,left,x,offset-left-only,margin-left-fixed,CSS,easy,css_positioning,Web Dev & IA Quiz
Quelle propriété gère l'ordre d'empilement ?,z-index,stack,layer,depth,CSS,easy,css_positioning,Web Dev & IA Quiz
Pourquoi z-index peut ne pas fonctionner comme prévu ?,À cause des contextes d'empilement,Parce qu'il est limité à 10,Parce qu'il ne marche qu'avec Grid,Parce qu'il remplace position,CSS,hard,css_positioning,Web Dev & IA Quiz
Quelle condition est souvent nécessaire pour que z-index s'applique ?,Un positionnement ou contexte compatible,Un display block uniquement,Une couleur de fond,Une media query,CSS,medium,css_positioning,Web Dev & IA Quiz
Que fait position: absolute sur le flux normal ?,L'élément sort généralement du flux normal,L'élément reste toujours à sa place,L'élément devient flex,L'élément disparaît,CSS,medium,css_positioning,Web Dev & IA Quiz
Pourquoi mettre position: relative sur un parent ?,Pour servir de référence à un enfant absolute,Pour centrer automatiquement le parent,Pour créer un scroll,Pour remplacer z-index,CSS,medium,css_positioning,Web Dev & IA Quiz
Quelle position est adaptée pour un badge dans un coin de carte ?,absolute,static,inherit,initial,CSS,medium,css_positioning,Web Dev & IA Quiz
Quelle position est adaptée pour une barre toujours visible en bas d'écran ?,fixed,static,relative,unset,CSS,medium,css_positioning,Web Dev & IA Quiz
Quel risque existe avec position: fixed sur mobile ?,Elle peut gêner le contenu ou les interactions,Elle ne fonctionne jamais,Elle supprime le viewport,Elle bloque les images,CSS,hard,css_positioning,Web Dev & IA Quiz
Quelle propriété peut créer un contexte d'empilement dans certains cas ?,transform,font-size,line-height,text-align,CSS,hard,css_positioning,Web Dev & IA Quiz
Pourquoi éviter de résoudre tous les problèmes avec z-index élevé ?,Cela crée une dette visuelle difficile à maintenir,CSS interdit les grands nombres,Le navigateur ignore z-index > 10,Cela supprime les positions,CSS,hard,css_positioning,Web Dev & IA Quiz
Quelle valeur positionne l'élément selon le flux par défaut ?,static,normal,flow,default-position,CSS,easy,css_positioning,Web Dev & IA Quiz
Que fait inset: 0 sur un élément positionné ?,"Définit top, right, bottom et left à 0",Centre l'élément,Supprime les marges,Cache l'élément,CSS,hard,css_positioning,Web Dev & IA Quiz
Quelle technique peut centrer un élément absolute avec transform ?,"top: 50%; left: 50%; transform: translate(-50%, -50%)",margin: center; position: absolute,align-items: center sans parent,z-index: center,CSS,hard,css_positioning,Web Dev & IA Quiz
Quel outil CSS permet d'appliquer des règles selon la taille d'écran ?,media query,screen rule,responsive tag,viewport rule only,CSS,easy,css_responsive,Web Dev & IA Quiz
Quelle syntaxe commence une media query ?,@media,@screen,@responsive,@query,CSS,easy,css_responsive,Web Dev & IA Quiz
Quelle condition cible les écrans jusqu'à 600px de large ?,(max-width: 600px),(width <= 600),(screen: 600px max),(mobile-width 600),CSS,easy,css_responsive,Web Dev & IA Quiz
Quelle condition cible les écrans à partir de 768px ?,(min-width: 768px),(width >= 768),(screen-min 768),(from-width: 768),CSS,easy,css_responsive,Web Dev & IA Quiz
